company,country,averageage,averagetenure,women%,marketcap
"WEC Energy Group, Inc.",USA,64.7,8.9,23.1,20.2
Baker Hughes Incorporated,USA,66.9,10.4,15.4,20.1
Maruti Suzuki India Ltd,India,63.8,9.6,8.3,20.1
Moody's Corporation,USA,63.1,8.6,22.2,20.1
Devon Energy Corporation,USA,63.2,6.4,22.2,20.1
Dassault Systemes,France,64,10.6,50,20
Sun Life Financial Inc.,Canada,60.8,4.9,27.3,20
Schindler Holding AG,Switzerland,58.6,10,16.7,20
Brown-Forman Corporation,USA,54.2,4.5,16.7,20
"L Brands, Inc.",USA,69.9,19.6,18.2,20
Power Assets Holdings Ltd.,Hong Kong,63.7,15.2,0,19.9
Sprint Corporation,USA,58.3,1.7,11.1,19.9
Gas Natural SDG S.A,Spain,63.8,7.5,17.6,19.8
Sky plc,United Kingdom,53.6,5.1,16.7,19.8
The Wharf (Holdings) Ltd.,Hong Kong,62.9,10.7,16.7,19.8
Omnicom Group Inc.,USA,71.1,16.5,33.3,19.7
TELUS Corporation,Canada,63.4,6.7,25,19.6
Actelion Ltd.,Switzerland,60.1,6.5,10,19.6
"China Shipbuilding Industry Co., Ltd.",China,58.1,1,7.7,19.6
Nielsen Holdings plc,USA,60,4,27.3,19.5
Koninklijke Ahold NV,Netherlands,61.5,4.9,21.4,19.5
"Bank of Beijing Co., Ltd.",China,55.4,4.8,35.3,19.5
Assicurazioni Generali Spa,Italy,57.8,3.6,36.4,19.5
Carrefour,France,61.4,5.8,23.5,19.4
Repsol SA,Spain,64.6,7.5,6.3,19.4
Marathon Petroleum Corporation,USA,64.1,3.8,10,19.4
Givaudan SA,Switzerland,60.3,4.4,25,19.3
The Progressive Corporation,USA,61.9,10,22.2,19.3
Hormel Foods Corporation,USA,58.9,7.1,26.7,19.2
NTPC Ltd.,India,56.1,1.9,0,19.2
Vornado Realty Trust,USA,73.1,22.6,11.1,18.9
M&T Bank Corporation,USA,69.7,15.1,12.5,18.9
PACCAR Inc,USA,60.9,7.4,18.2,18.9
Amadeus IT Holding SA,Spain,60.5,6.6,10,18.8
Skandinaviska Enskilda Banken,Sweden,55.4,6.3,46.7,18.8
CNH Industrial N.V.,Netherlands,59.3,2.5,36.4,18.7
Experian plc,United Kingdom,55.1,4.7,11.1,18.7
Surgutneftegaz,Russia,64.8,7.7,0,18.7
International Paper Company,USA,62.8,5.8,16.7,18.7
MTN Group Ltd,South Africa,56.6,7.5,27.3,18.5
"Shanghai International Port (Group) Co., Ltd.",China,54.9,2.6,0,18.5
"T. Rowe Price Group, Inc.",USA,62.7,7.5,25,18.5
"Analog Devices, Inc.",USA,64.1,10.9,10,18.5
AmerisourceBergen Corporation,USA,61,6.3,30,18.5
Tyco International plc,USA,63.1,8,9.1,18.4
Transurban Group,Australia,59,5.1,28.6,18.4
RELX NV,Netherlands,58.9,4.3,30,18.4
SGS SA,Switzerland,59.2,7.9,0,18.4
Eversource Energy,USA,67.5,7.1,15.4,18.4
FirstRand Ltd,South Africa,58.9,7.5,20,18.3
Delphi Automotive PLC,USA,63.5,5.1,7.7,18.3
"Itausa, Investimentos Itau S.A.",Brazil,54.7,10.3,0,18.3
Orix Corp.,Japan,65,14.8,0,18.3
Amphenol Corporation,USA,65.7,9.7,11.1,18.2
Rolls-Royce Holdings plc,United Kingdom,58.1,3.4,21.4,18.2
Sasol Ltd,South Africa,56.8,5.8,25,18.2
"Under Armour, Inc.",USA,60.8,9.5,10,18.1
Fresnillo plc,United Kingdom,64.7,5.6,18.2,18.1
Thales,France,60.8,4.4,37.5,18.1
DNB ASA,Norway,57.4,6.3,37.5,18.1
Hess Corporation,USA,64.6,9.3,18.2,18
"Dr Pepper Snapple Group, Inc.",USA,61.8,6,44.4,18
Nucor Corporation,USA,62.6,6.8,25,18
Tesco plc,United Kingdom,56.8,1.5,27.3,18
"Republic Services, Inc.",USA,61.4,7.4,10,18
Realty Income Corporation,USA,61.4,9.5,25,18
BB Seguridade Participacoes S.A.,Brazil,45.8,1.5,16.7,17.9
"Marriott International, Inc.",USA,64,11.3,36.4,17.8
Gree Electric Appliances Inc of Zhuhai,China,55.4,2.4,33.3,17.8
Compagnie generale des etablissements Michelin,France,58.4,3.9,44.4,17.8
The J. M. Smucker Company,USA,62.6,15.6,36.4,17.8
Viacom Inc.,USA,65.8,8.6,36.4,17.7
The Clorox Company,USA,62.5,5.5,27.3,17.7
Coca-Cola European Partners Plc,USA,62.3,9.1,27.3,17.7
Vodacom Group Ltd,South Africa,52.5,5.6,25,17.7
"Stanley Black & Decker, Inc.",USA,62.7,6.3,27.3,17.6
"The Williams Companies, Inc.",USA,60.5,6.3,30.8,17.6
DTE Energy Company,USA,65.3,8.4,16.7,17.5
Ingersoll-Rand plc,USA,65.3,9.3,33.3,17.5
"HCP, Inc.",USA,67.6,13,25,17.5
"Roper Technologies, Inc.",USA,65.6,12.2,22.2,17.4
ArcelorMittal,Luxembourg,60.5,8.1,23.1,17.4
Willis Towers Watson Public Limited Company,USA,61.9,3.6,25,17.2
Samsung Life Insurance Co. Ltd.,South Korea,58.4,1.1,0,17.2
"Continental Resources, Inc.",USA,67.8,14.8,0,17.2
POSCO,South Korea,59.7,1.8,0,17.2
"The Hartford Financial Services Group, Inc.",USA,61.6,7.6,36.4,17.2
Sodexo,France,56.4,14.7,42.9,17.2
Vonovia SE,Germany,57.4,2.4,33.3,17.2
Westfield Corp,Australia,53,13.9,8.3,17.1
"CenturyLink, Inc.",USA,61.8,12.7,36.4,17.1
Centrica plc,United Kingdom,55.8,3.1,18.2,17.1
Mead Johnson Nutrition Company,USA,62,5.6,23.1,17.1
Woodside Petroleum Ltd.,Australia,60.1,5.4,33.3,17
"C. R. Bard, Inc.",USA,64.8,11.3,8.3,17
"Expedia, Inc.",USA,63.9,8.7,10,17
Infineon Technologies AG,Germany,56.1,4.9,37.5,17
"Digital Realty Trust, Inc.",USA,64.6,7.3,14.3,17
"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd.",China,50.9,0.9,9.1,17
Banco do Brasil S.A.,Brazil,48.7,1.1,20,16.9
TENARIS SA,Luxembourg,67.2,11.9,0,16.9
Swire Pacific Limited,Hong Kong,56.7,7.7,13.3,16.8
Eisai Co. Ltd.,Japan,64.1,10.7,9.1,16.8
"Inner Mongolia Yili Industrial Group Co., Ltd.",China,48.7,3.3,18.2,16.7
Vulcan Materials Company,USA,61.5,6.4,27.3,16.6
Kuehne & Nagel International AG,Switzerland,61.9,13.2,11.1,16.6
Power Financial Corporation,Canada,65,14.8,16.7,16.5
Freeport-McMoRan Inc.,USA,59.4,6.5,25,16.4
"Poly Real Estate Group Co., Ltd.",China,50,2.7,11.1,16.4
Shinhan Financial Group Co. Ltd.,South Korea,61.4,1.5,0,16.3
Rio Tinto Ltd.,Australia,61,4.5,25,16.3
Swire Properties Ltd.,Hong Kong,55.5,5.9,8.3,16.2
Concho Resources Inc.,USA,62.1,7.5,0,16.2
Deutsche Boerse AG,Germany,59.5,7.9,41.7,16.1
Ryanair Holdings plc,Ireland,61.5,7.5,16.7,16.1
Akzo Nobel NV,Netherlands,63.8,5,37.5,16.1
Goldcorp Inc.,Canada,63.9,6.4,33.3,16.1
DaVita HealthCare Partners Inc.,USA,62.8,11.2,20,16.1
"Ulta Salon, Cosmetics & Fragrance, Inc.",USA,60.8,7,45.5,16
"United Continental Holdings, Inc.",USA,58,3.4,14.3,16
"Ameriprise Financial, Inc.",USA,64,8,37.5,16
Equifax Inc.,USA,63,10.5,10,16
Publicis Groupe SA,France,59.2,9.3,50,15.9
"NOBLE ENERGY, INC.",USA,63.5,11.1,9.1,15.8
Altice NV,Netherlands,48,1.6,0,15.8
"Hua Xia Bank Co., Ltd.",China,52.8,1.8,5.9,15.8
Incyte Corporation,USA,60.6,7.9,14.3,15.7
Wilmar International Limited,Singapore,62.6,6.5,0,15.7
Kerry Group plc,Ireland,58.3,6.3,13.3,15.7
HeidelbergCement AG,Germany,56.2,8.8,16.7,15.7
SK Telecom Co.,South Korea,56.8,3.3,0,15.7
Lindt & Spruengli AG,Switzerland,61.3,13.3,33.3,15.6
"Workday, Inc.",USA,57.8,6.4,12.5,15.6
Brambles Ltd,Australia,60.9,5,33.3,15.6
"Rockwell Automation, Inc.",USA,61.4,8.9,22.2,15.5
Anglo American plc,United Kingdom,62.6,4.8,25,15.5
TD Ameritrade Holding Corporation,USA,60.9,6.3,25,15.5
Genuine Parts Company,USA,63.8,8.5,30.8,15.4
LG Household & Health Care Ltd.,South Korea,55,4.3,0,15.4
FirstEnergy Corp.,USA,64.8,7.1,14.3,15.4
Smith & Nephew plc,United Kingdom,60.9,4.5,27.3,15.4
Parker-Hannifin Corporation,USA,62.2,9.4,14.3,15.3
Northern Trust Corporation,USA,59.6,7.8,16.7,15.3
MAN SE,Germany,55,5.1,18.8,15.3
Nomura Holdings Inc.,Japan,68.3,11.5,0,15.2
"Agilent Technologies, Inc.",USA,65.2,8.1,20,15.2
"China Merchants Securities Co., Ltd.",China,51.4,4.9,20,15.2
Royal Caribbean Cruises Ltd.,USA,64.1,12,16.7,15.2
"Jiangsu Hengrui Medicine Co., Ltd.",China,51.6,1.8,22.2,15.1
HCL Technologies Ltd.,India,60.3,6.7,20,15.1
Koninklijke KPN NV,Netherlands,57.3,2.9,28.6,15.1
LG Chem Ltd.,South Korea,59,1.9,0,15
KT&G Corp.,South Korea,59.6,0.8,0,15
Standard Bank Group Ltd,South Africa,57,5,13.3,15
Abertis Infraestructuras S.A,Spain,62.4,6.1,30.8,15
Cap Gemini,France,61,7.6,46.2,15
BioMarin Pharmaceutical Inc.,USA,64,8.5,12.5,14.9
Swatch Group AG,Switzerland,57,10.8,16.7,14.9
Kia Motors Corp.,South Korea,57.3,5.3,0,14.9
UniCredit SpA,Italy,60.5,5.8,35.3,14.9
Legal & General Group plc,United Kingdom,57.1,5.1,30,14.9
Ferrovial SA,Spain,61.6,10,10,14.9
IHS Markit Ltd.,USA,65.6,9.6,22.2,14.8
Pandora A/S,Denmark,51.2,3,30,14.8
"Essex Property Trust, Inc.",USA,65.8,13.8,11.1,14.8
"Henry Schein, Inc.",USA,66.8,13.6,13.3,14.8
"Mohawk Industries, Inc.",USA,63.7,10.1,11.1,14.8
Vestas Wind System A/S,Denmark,51.9,5.6,25,14.8
Magna International Inc.,Canada,65.3,5.9,30,14.8
DENTSPLY Sirona Inc.,USA,62.5,6.9,0,14.7
Fortum Oyj,Finland,57,3.1,37.5,14.7
Asian Paints Ltd.,India,70.3,14.4,14.3,14.6
"Inner Mongolia BaoTou Steel Union Co., Ltd.",China,49.4,2,14.3,14.6
Carlsberg,Denmark,58.7,5.2,26.7,14.6
Western Digital Corporation,USA,59.9,8.3,25,14.5
"American Water Works Company, Inc.",USA,62.9,6.1,55.6,14.5
Potash Corporation of Saskatchewan Inc.,Canada,57.2,7.1,30.8,14.5
Hoya Corp.,Japan,68.5,15.1,12.5,14.5
Ultratech Cement Ltd.,India,62.5,5.9,28.6,14.4
TransDigm Group Incorporated,USA,61.7,8.3,0,14.4
"CA, Inc.",USA,61.8,7.3,18.2,14.4
Evonik Industries AG,Germany,58.4,4.6,25,14.4
Alcoa Inc.,USA,65.1,6.5,20,14.4
Entergy Corporation,USA,63.7,7,36.4,14.3
"Verisk Analytics, Inc.",USA,64.1,11.6,8.3,14.3
SBA Communications Corporation,USA,60.6,11.9,12.5,14.3
Fifth Third Bancorp,USA,59.9,5.8,27.3,14.2
Newcrest Mining Ltd.,Australia,62,3.5,20,14.2
Legrand,France,57.4,7.2,50,14.2
CaixaBank SA,Spain,60.7,5.6,27.8,14.2
"W.W. Grainger, Inc.",USA,62,12.3,10,14.2
Lam Research Corporation,USA,57.8,5,22.2,14.1
Magnit PJSC,Russia,45.4,5.8,0,14.1
VTB Bank PJSC,Russia,52.5,5.1,0,14.1
Loews Corporation,USA,67.8,14.1,7.1,14
Geberit AG,Switzerland,56.2,3.5,16.7,14
Laboratory Corporation of America Holdings,USA,58.2,8,20,13.9
"FleetCor Technologies, Inc.",USA,60.6,7.3,0,13.9
Wolseley plc,United Kingdom,56.3,4.4,30,13.8
Amcor Limited,Australia,62.6,4,25,13.7
Grifols SA,Spain,54.8,7.2,30.8,13.7
"Micron Technology, Inc.",USA,59.9,7.6,14.3,13.6
Alcatel Lucent,France,54.4,1.9,33.3,13.6
Klepierre SA,France,53.8,3.9,40,13.6
Perrigo Company plc,USA,61.1,11.4,20,13.6
"Daqin Railway Co., Ltd.",China,54.4,3,0,13.6
Mahindra & Mahindra Ltd.,India,63.9,13.9,10,13.5
China United Network Communications Ltd.,China,53.9,3.3,0,13.4
Franco-Nevada Corporation,Canada,62.6,7.3,11.1,13.3
Groupe Bruxelles Lambert,Belgium,57.4,13.3,27.8,13.3
WHIRLPOOL CORPORATION,USA,59.5,8.3,18.2,13.3
"McCormick & Company, Incorporated",USA,58.7,7.5,27.3,13.3
Old Mutual plc,United Kingdom,59.9,3.3,38.5,13.3
Galaxy Entertainment Group Ltd.,Hong Kong,68.9,15.5,12.5,13.3
Agrium Inc.,Canada,58.2,4.7,30,13.2
MGM Resorts International,USA,61.8,9.6,27.3,13.2
"Red Hat, Inc.",USA,60.2,7.8,20,13.2
Markel Corporation,USA,69.5,16.4,7.7,13.2
"Citrix Systems, Inc.",USA,55.3,4.2,11.1,13.2
The Macerich Company,USA,61.3,9.5,20,13.2
Kimco Realty Corporation,USA,70.6,15,12.5,13.1
"SK Holdings Co., Ltd.",South Korea,59.3,2.4,0,13.1
EQT Corporation,USA,62.5,9,30,13.1
"Starwood Hotels & Resorts Worldwide, Inc.",USA,61.8,11.1,20,13
"Universal Health Services, Inc.",USA,63.1,19.7,14.3,13
"Autodesk, Inc.",USA,56.3,5.8,27.3,13
Sandvik AB,Sweden,56.7,3.6,20,12.9
"Foshan Haitian Flavouring & Food Co., Ltd.",China,48.1,2.7,33.3,12.9
Marathon Oil Corporation,USA,62,6.4,12.5,12.9
Symantec Corporation,USA,59.1,9.7,33.3,12.9
"Church & Dwight Co., Inc.",USA,59.2,8.5,20,12.9
Waste Connections US Inc,USA,61.4,14.8,0,12.8
"Principal Financial Group, Inc.",USA,61.6,9.5,40,12.8
"Skyworks Solutions, Inc.",USA,60.6,12.4,12.5,12.8
Power Grid Corporation of India Ltd,India,59.3,2.8,8.3,12.8
Ameren Corporation,USA,61.9,5.7,27.3,12.7
"National Oilwell Varco, Inc.",USA,61.7,8,11.1,12.7
RTL Group S.A.,Luxembourg,55.9,6.4,7.7,12.7
"Twitter, Inc.",USA,49,4.4,25,12.7
"Host Hotels & Resorts, Inc.",USA,65.8,13.4,33.3,12.7
Liberty Interactive Corporation,USA,62.8,10.4,11.1,12.7
AMP Limited,Australia,56.4,3.4,50,12.6
Alliance Data Systems Corporation,USA,67,12.6,12.5,12.6
BRF SA,Brazil,60.6,1.8,0,12.6
Fastenal Company,USA,54.2,8,22.2,12.6
"Martin Marietta Materials, Inc.",USA,64.7,11.9,22.2,12.6
CMS Energy Corporation,USA,60.7,4.9,33.3,12.5
"D.R. Horton, Inc.",USA,64.4,13.8,20,12.5
Agnico Eagle Mines Limited,Canada,64.3,10.2,25,12.5
Wolters Kluwer NV,Netherlands,61.7,5.1,28.6,12.5
Suncorp Group Ltd.,Australia,61.9,5.9,22.2,12.5
Cincinnati Financial Corporation,USA,61.6,17.5,13.3,12.5
"BOE Technology Group Co., Ltd.",China,52.2,1.8,8.3,12.5
EMS Chemie Holding AG,Switzerland,54.5,6.3,25,12.5
"Kangmei Pharmaceutical Co., Ltd.",China,50.8,2.8,11.1,12.5
ThyssenKrupp AG,Germany,55.3,5.1,25,12.4
London Stock Exchange Group plc,United Kingdom,58.5,3.8,9.1,12.4
Gazprom Neft PJSC,Russia,47.6,6.7,7.7,12.3
"Aeon Co., Ltd.",Japan,68.2,10.7,0,12.3
Fairfax Financial Holdings Limited,Canada,67.4,10.6,0,12.3
Tractor Supply Company,USA,62.5,6.9,25,12.3
Hannover Rueck SE,Germany,58.6,12,33.3,12.2
Centene Corporation,USA,68.6,11.2,11.1,12.2
Ultrapar Participacoes S.A.,Brazil,64.9,6.9,0,12.2
"Power Construction Corporation of China, Ltd.",China,58.5,1.9,0,12.1
"Xilinx, Inc.",USA,60.6,5.7,11.1,12.1
"Advance Auto Parts, Inc.",USA,55.8,3.9,18.2,12.1
Red Electrica Corporacion SA,Spain,55.8,3.3,33.3,12.1
Aspen Pharmacare Holdings Ltd,South Africa,53.2,9,22.2,12.1
Veolia Environnement,France,58.4,5.2,35.3,12.1
Waters Corporation,USA,61.1,16.3,20,12
Natixis,France,56.3,4,33.3,12
"Baoshan Iron & Steel Co., Ltd.",China,55.6,3.4,0,12
Telefonica Deutschland Holding AG,Germany,49,2.8,37.5,12
SK Innovation Co. Ltd.,South Korea,57.9,1.1,12.5,12
Partners Group Holding,Switzerland,54,7.9,20,11.9
Bharat Petroleum Corporation Ltd.,India,56.5,2.6,12.5,11.9
First Data Corporation,USA,59.3,5.3,12.5,11.9
Sydney Airport,Australia,55.4,5.9,30,11.9
Toshiba Corp.,Japan,65.9,9.2,0,11.9
CGI Group Inc.,Canada,63.7,13.4,21.4,11.8
International Consolidated Airlines Group SA,United Kingdom,61.6,5.6,25,11.8
"Chipotle Mexican Grill, Inc.",USA,58.9,13.1,11.1,11.8
Global Payments Inc.,USA,62.3,8,12.5,11.8
National Bank Of Canada,Canada,58.8,4.5,38.5,11.8
Husky Energy Inc.,Canada,68.9,12.1,13.3,11.8
Quest Diagnostics Incorporated,USA,64.5,9.2,30,11.8
Accor,France,55.1,6.5,40,11.8
Federal Realty Investment Trust,USA,60.9,13,28.6,11.8
"Motorola Solutions, Inc.",USA,60.1,5.9,22.2,11.8
"Coach, Inc.",USA,52.5,4.4,25,11.8
EDP-Energias de Portugal S.A,Portugal,58.3,3.8,9.5,11.7
Cenovus Energy Inc.,Canada,66.4,5.2,18.2,11.7
Pembina Pipeline Corporation,Canada,61.5,7.1,20,11.7
Saputo Inc.,Canada,56.8,6.7,50,11.7
HKT Trust and HKT Limited,Hong Kong,59.1,4.2,16.7,11.7
Deutsche Wohnen AG,Germany,71.5,6.3,0,11.7
KLA-Tencor Corporation,USA,62.7,7.6,10,11.7
Tatneft PJSC,Russia,58.6,4.9,0,11.7
Cabot Oil & Gas Corporation,USA,65.2,7.2,16.7,11.7
"Acuity Brands, Inc.",USA,66.4,8.9,10,11.6
Linear Technology Corporation,USA,71.6,19,0,11.6
Extra Space Storage Inc.,USA,65.1,8.7,14.3,11.6
Bajaj Auto Ltd.,India,66.6,7.2,6.3,11.6
KB Financial Group Inc.,South Korea,57.9,1.1,11.1,11.6
"ServiceNow, Inc.",USA,56.2,5.4,22.2,11.6
Microchip Technology Incorporated,USA,66,16.4,20,11.6
Regions Financial Corporation,USA,64.5,9.4,27.3,11.6
"L-3 Communications Holdings, Inc.",USA,69.3,9.8,10,11.5
"Henan Shuanghui Investment and Development Co., Ltd.",China,55.5,3,0,11.5
Pentair plc,USA,60.8,9.5,18.2,11.5
Invesco Ltd.,USA,65.7,8.6,11.1,11.4
Silver Wheaton Corp.,Canada,63,9.2,11.1,11.4
Amorepacific Group Inc.,South Korea,55.6,2.7,0,11.4
Koninklijke DSM NV,Netherlands,66,5.7,42.9,11.4
Samsung Fire & Marine Insurance Co.,South Korea,57,2.6,0,11.4
Dover Corporation,USA,65.4,10,18.2,11.3
Masco Corporation,USA,61,11,20,11.3
Cimarex Energy Co.,USA,67.3,8.9,10,11.3
George Weston Limited,Canada,59.5,9.2,33.3,11.3
Liberty Broadband Corporation,USA,67,1.8,0,11.2
Iliad,France,48.5,8.3,33.3,11.2
"Mattel, Inc.",USA,60.6,9.5,30,11.2
Lupin Ltd.,India,66.9,13.4,20,11.2
QBE Insurance Group Ltd.,Australia,59.8,2.7,22.2,11.2
BM&FBOVESPA S.A.,Brazil,56.7,2.7,0,11.2
Ramsay Health Care Ltd.,Australia,63.5,16.1,20,11.2
"Rockwell Collins, Inc.",USA,65.2,9.1,22.2,11.2
Bosch Limited,India,59,5,12.5,11.2
"AMETEK, Inc.",USA,65.5,12.4,37.5,11.1
"NASDAQ, INC.",USA,58.1,6.5,20,11.1
"Citizens Financial Group, Inc.",USA,64.9,5.7,25,11.1
Liberty Media Corporation,USA,61.1,4.1,11.1,11.1
"Palo Alto Networks, Inc.",USA,53.5,5.4,0,11.1
Erste Group Bank AG,Austria,55.9,5.8,33.3,11
Land Securities Group plc,United Kingdom,55.7,6.4,33.3,11
Valeo,France,61.7,5.8,42.9,11
SL Green Realty Corp.,USA,64.3,12.4,12.5,10.9
Randgold Resources Ltd,United Kingdom,58.8,7.2,22.2,10.9
Aeroports de Paris ADP,France,56.8,3.9,38.9,10.8
"Annaly Capital Management, Inc.",USA,61.1,11.8,22.2,10.8
Proximus,Belgium,58.5,5.4,42.9,10.7
"Maxim Integrated Products, Inc.",USA,67,14.3,0,10.7
WestRock Company,USA,61.1,1,14.3,10.7
"The Bank Of East Asia, Limited",Hong Kong,62,10.1,5.6,10.7
"Macy's, Inc.",USA,58.5,9,46.2,10.7
"Zhejiang Zheneng Electric Power Co., Ltd.",China,54.3,2.5,11.1,10.7
"Hasbro, Inc.",USA,59.8,10.5,25,10.7
Terna SPA,Italy,50,1.6,22.2,10.7
"Whole Foods Market, Inc.",USA,62.6,14.2,18.2,10.6
lululemon athletica inc.,USA,52.8,4.2,40,10.6
Harris Corporation,USA,64.3,10.8,16.7,10.6
Peugeot SA,France,57.3,4.6,42.9,10.6
Eastman Chemical Company,USA,63.3,8.7,16.7,10.6
Sino Land Company Ltd.,Hong Kong,57.9,11.6,10,10.6
Insurance Australia Group Ltd.,Australia,59.6,4.9,30,10.6
"CarMax, Inc.",USA,61.6,8.2,18.2,10.6
International Flavors & Fragrances Inc.,USA,63.2,5.5,27.3,10.5
Jardine Cycle & Carriage Limited,Singapore,63.5,11.1,7.1,10.5
SCANA Corporation,USA,60.4,9.5,18.2,10.5
Pearson plc,United Kingdom,56.5,2.3,30,10.5
Mediclinic International plc,United Kingdom,59.4,8.9,10,10.5
Iron Mountain Incorporated,USA,60.8,5.9,25,10.5
Bunzl plc,United Kingdom,58.8,5.4,22.2,10.5
First Republic Bank,USA,65.6,4.9,33.3,10.5
RWE AG,Germany,58.5,4.6,25,10.5
Cintas Corporation,USA,65.3,15.4,11.1,10.4
Metro AG,Germany,57,6.7,25,10.4
Textron Inc.,USA,67.9,11.9,9.1,10.4
CNP Assurances,France,53.8,3.6,44.4,10.4
Celanese Corporation,USA,62.8,5.3,33.3,10.4
Numericable SFR,France,56.7,1.3,30,10.4
"CenterPoint Energy, Inc.",USA,61.1,7.8,22.2,10.4
Upm-Kymmene Oy,Finland,57,6.2,30,10.3
Bouygues,France,54.8,8.2,43.8,10.3
Mettler-Toledo International Inc.,USA,58.7,10.1,11.1,10.3
Vicinity Centres,Australia,60.6,2.3,27.3,10.3
"C.H. Robinson Worldwide, Inc.",USA,60.7,10.6,33.3,10.3
Celltrion Inc.,South Korea,56.7,6.7,0,10.3
AGL Energy Ltd.,Australia,63.3,5.9,25,10.2
"Fidelity National Financial, Inc.",USA,63.8,8.7,9.1,10.2
"Medivation, Inc.",USA,59.3,5.6,37.5,10.2
Lincoln National Corporation,USA,68.6,13.1,10,10.2
Kansas City Southern,USA,64.1,8.3,11.1,10.2
Genmab A/S,Denmark,60,5.6,14.3,10.2
Lennar Corporation,USA,65.8,14.7,11.1,10.1
LKQ Corporation,USA,60.2,8.8,10,10.1
Samsung SDS Co. Ltd.,South Korea,56.4,1.3,0,10.1
"Hologic, Inc.",USA,57.5,5.9,40,10.1
"Best Buy Co., Inc.",USA,56.9,4.7,40,10.1
Daiwa Securities Group Inc.,Japan,63.6,11.1,7.1,10.1
"ONEOK, Inc.",USA,61.5,8,18.2,10.1
New World Development Co. Ltd.,Hong Kong,58.9,13.1,14.3,10.1
ITV plc,United Kingdom,55.5,4.9,25,10.1
Wheelock & Co. Ltd.,Hong Kong,63.9,7.7,15.4,10.1
Solvay SA,Belgium,58.1,8.3,33.3,10.1
"Total System Services, Inc.",USA,66.6,18.4,15.4,10.1
"Akamai Technologies, Inc.",USA,62.5,9,27.3,10.1
The Mosaic Company,USA,59.5,6.6,18.2,10
LG Corp.,South Korea,59.7,3.3,0,10
Next plc,United Kingdom,57.3,6.6,44.4,10
Hanesbrands Inc.,USA,63.5,7.3,20,10
"Discovery Communications, Inc.",USA,66.9,7.6,0,10
Fortescue Metals Group Ltd.,Australia,55,4.1,30,10
Kingfisher plc,United Kingdom,55.3,5,44.4,10
"TripAdvisor, Inc.",USA,48.6,3.6,12.5,10
Bharti Infratel Ltd.,India,60,2.4,10,10
Ningbo Port Company Ltd,China,52.5,2.9,0,10
"Chongqing Changan Automobile Co., Ltd.",China,49.8,2.3,0,9.9
Ball Corporation,USA,63.8,11.2,11.1,9.9
Singapore Airlines Limited,Singapore,64.3,6.4,11.1,9.9
The WhiteWave Foods Company,USA,61.9,2.9,28.6,9.9
The Western Union Company,USA,61.5,5.5,18.2,9.9
KeyCorp,USA,59.7,6.1,35.7,9.9
GEA Group AG,Germany,64.7,6.1,33.3,9.8
Capitaland Limited,Singapore,64.3,4.1,11.1,9.8
Xerox Corporation,USA,63.6,8.3,37.5,9.8
Restaurant Brands International Inc.,USA,55.6,2.3,0,9.8
"UDR, Inc.",USA,65.4,10.4,30,9.7
Goodman Group,Australia,65.2,6.9,18.2,9.7
Jeronimo Martins SGPS S.A,Portugal,57,6,11.1,9.7
Dassault Aviation,France,66.7,12.7,30,9.7
ProSiebenSAT.1 Media SE,Germany,52.8,1.7,33.3,9.7
Albemarle Corporation,USA,62.8,5,9.1,9.7
"Autoliv, Inc.",USA,64,5.9,18.2,9.7
Sealed Air Corporation,USA,65.1,9.5,10,9.7
Severstal PJSC,Russia,52.1,5.2,0,9.6
Hero MotoCorp Ltd.,India,65.9,11.3,8.3,9.6
"Shanghai Oriental Pearl Media Co., Ltd.",China,52.1,1.4,11.1,9.6
Bollore,France,50.7,8,33.3,9.6
"J.B. Hunt Transport Services, Inc.",USA,58.8,15.1,20,9.6
"The Interpublic Group of Companies, Inc.",USA,64.5,7.7,40,9.6
Ingredion Incorporated,USA,58.3,6.9,40,9.6
Nestle India Ltd.,India,64.8,8.4,12.5,9.5
Hang Lung Properties Ltd.,Hong Kong,65,13.3,11.1,9.5
Paddy Power Betfair plc,United Kingdom,53.4,6,18.2,9.5
Sanlam Ltd,South Africa,59.2,7.6,22.2,9.5
Fortis Inc.,Canada,60.5,4.8,33.3,9.5
Snap-on Incorporated,USA,62.6,7.1,22.2,9.4
"Qingdao Haier Co., Ltd.",China,54.8,2.6,11.1,9.4
Duke Realty Corporation,USA,65.8,9.3,25,9.4
Orkla ASA,Norway,53.1,3.8,40,9.4
"Fortune Brands Home & Security, Inc.",USA,59.8,4.6,25,9.4
Shaw Communications Inc.,Canada,65.6,15.6,18.8,9.4
"VEREIT, Inc.",USA,61.6,1.1,14.3,9.4
"Wynn Resorts, Limited",USA,68.6,8.2,11.1,9.4
"Cheniere Energy, Inc.",USA,54.4,5.7,20,9.4
Coty Inc.,USA,62.1,6,0,9.4
Bureau Veritas,France,53.5,6.5,36.4,9.4
OMV AG,Austria,57,6.8,18.8,9.4
The Sage Group plc,United Kingdom,58.1,3.5,25,9.4
Norwegian Cruise Line Holdings Ltd.,USA,59.9,4.1,0,9.4
Gap Inc,USA,61.3,9.8,30,9.3
Adecco Group AG,Switzerland,59.9,6.4,22.2,9.2
United Utilities Group plc,United Kingdom,57.1,4.6,14.3,9.2
"CBRE Group, Inc.",USA,62,7,20,9.2
"Acs, Actividades de Construccion y Servicios S.A",Spain,64.9,11.9,16.7,9.2
