Company,Country,Board size,Average age,Average tenure,# Over life expectancy,# Women,Market cap ($m)
Stuart Olson Inc.,Canada,8,55,5.4,0,1,135.31
"Commercial Vehicle Group, Inc.",US,7,61.9,7.3,0,0,135.96
Castle Brands Inc.,US,8,64.5,7.3,0,0,136.03
"Kona Grill, Inc.",US,7,55.7,7,0,0,138.23
"Veracyte, Inc.",US,8,61.9,5,0,2,138.46
"BioDelivery Sciences International, Inc.",US,8,67.6,7.3,1,0,138.81
LPKF Laser & Electronics AG,Germany,4,56.3,8,0,1,139.18
"Anthera Pharmaceuticals, Inc.",US,6,58.8,6.7,0,0,139.77
"Limelight Networks, Inc.",US,7,54.1,5,0,0,140.64
Cipher Pharmaceuticals Inc.,Canada,8,64.5,6.6,1,2,141.31
"Stage Stores, Inc.",US,9,62,6.7,0,3,141.57
"Tetraphase Pharmaceuticals, Inc.",US,7,62,3,0,2,141.67
"Asterias Biotherapeutics, Inc.",US,8,60.8,1.5,0,1,141.78
Kopin Corporation,US,7,70.4,24.3,1,0,142.01
"Stemline Therapeutics, Inc.",US,5,50.8,5.8,0,0,143.4
"Escalade, Incorporated",US,7,58.6,7.9,0,0,144.13
"HC2 Holdings, Inc.",US,5,54.6,1.6,0,0,145.28
"CAI International, Inc.",US,7,67.9,12.6,0,0,145.33
"Cara Therapeutics, Inc.",US,5,56.4,5.6,0,0,146.51
"Lifeway Foods, Inc.",US,7,51.7,11.7,0,2,146.56
"Inventure Foods, Inc.",US,7,59.9,5.4,0,0,146.71
Futuren,France,4,47.8,4.5,0,1,147.65
"Senomyx, Inc.",US,8,63.1,8.3,0,1,147.71
"Mirati Therapeutics, Inc.",US,6,60.5,3.2,0,0,148.7
ZAGG Inc,US,5,56,3.6,0,1,148.73
"Marchex, Inc.",US,6,57.7,7,0,1,148.99
EMCORE Corporation,US,5,61.8,4.4,0,0,149.04
Tribal Group plc,UK,5,53.6,2,0,0,149.13
Merus Labs International Inc.,Canada,7,52,3.3,0,1,149.57
"Calamos Asset Management, Inc.",US,6,67,5.5,0,0,149.67
RM plc,UK,6,52.7,3.3,0,1,149.82
"Liberty Tax, Inc.",US,8,60.5,10.8,0,1,150.09
Norcros plc,UK,5,55.6,6.4,0,1,150.16
RMP Energy Inc.,Canada,7,59,7.3,0,0,150.19
Performance Sports Group Ltd.,US,9,59.4,2.7,0,2,150.54
Cambian Group plc,UK,7,55.9,1.6,0,1,151.04
Nanoco Group plc,UK,10,59.3,4.2,0,0,151.72
Adverum Biotechnologies Inc.,US,5,60.2,4.2,0,0,152.51
Carclo plc,UK,6,55.2,4.3,0,0,153.8
"NL Industries, Inc.",US,6,68.2,8.2,1,1,153.87
"QuinStreet, Inc.",US,10,57.4,8.6,0,2,153.97
"Tokai Pharmaceuticals, Inc.",US,7,55.4,4.7,0,2,154.37
Moss Bros Group plc,UK,5,55,6,0,2,154.61
"BioScrip, Inc.",US,7,54.9,1.9,0,1,156.82
Abraxas Petroleum Corporation,US,9,64.8,12.7,1,0,158.11
"Adams Resources & Energy, Inc.",US,8,65,7.9,2,1,158.24
"Ocular Therapeutix, Inc.",US,8,58.3,4.4,0,0,158.51
Flybe Group plc,UK,6,55.7,1.2,0,1,159
Redknee Solutions Inc.,Canada,6,55.8,7.2,0,1,159.11
"Jamba, Inc.",US,7,53,4.6,0,1,159.21
"Endocyte, Inc.",US,10,62.1,10.6,0,2,159.34
CytRx Corporation,US,5,68.4,7.8,1,1,159.56
The ExOne Company,US,7,63.9,2.3,0,1,160.52
"JAKKS Pacific, Inc.",US,6,55.8,7.5,0,0,160.93
Pendrell Corporation,US,7,65.7,6.6,0,0,160.93
Mr Bricolage,France,13,57.3,8.5,0,3,161.26
"Second Sight Medical Products, Inc.",US,6,58.3,9.7,0,0,161.42
"RealNetworks, Inc.",US,6,56.5,6.7,0,2,161.69
"Antares Pharma, Inc.",US,7,64.3,8,0,0,162.67
Strattec Security Corporation,US,5,63.8,14.6,0,0,162.82
Summit Industrial Income REIT,Canada,6,65,3.5,0,0,163.26
Xtreme Drilling and Coil Services Corp.,Canada,6,57.5,5.7,0,0,164.42
"W&T Offshore, Inc.",US,5,63.6,9,0,1,164.49
"United Online, Inc.",US,8,59.8,8,0,1,164.52
"Radiant Logistics, Inc.",US,4,60.3,5.8,0,0,164.86
"Townsquare Media, Inc.",US,7,50,5.4,0,1,165.37
"Zafgen, Inc.",US,8,50.8,6,0,1,166.36
"TransEnterix, Inc.",US,10,57.8,3.2,0,1,166.42
Westmoreland Coal Company,US,9,62.2,2.8,0,1,167.95
"Osiris Therapeutics, Inc.",US,5,55.8,6.4,0,0,168.47
Horizon North Logistics Inc.,Canada,8,56,3.5,0,2,169.74
"FuelCell Energy, Inc.",US,8,60,5.3,0,1,169.8
"Applied Optoelectronics, Inc.",US,7,63.1,8.7,1,0,169.92
High Arctic Energy Services Inc.,Canada,7,51.3,7.1,0,0,169.92
Sepura plc,UK,6,51.3,4.7,0,0,170.53
"Collectors Universe, Inc.",US,8,68,13.8,0,1,171.02
"Tilly's, Inc.",US,6,62.2,8.8,0,1,171.28
"Impac Mortgage Holdings, Inc.",US,6,66.3,18.7,0,0,171.98
Pfenex Inc.,US,6,60,2.5,0,0,172.05
Wireless Group plc,UK,7,53.3,5.9,0,2,172.33
"FreightCar America, Inc.",US,7,63.6,8,0,0,173.19
Granite Oil Corp.,Canada,7,58.5,7.3,0,0,174.26
"Idera Pharmaceuticals, Inc.",US,9,58.2,7.7,0,1,174.69
"Power Solutions International, Inc.",US,5,57.4,4.2,0,2,174.72
Sequana,France,10,56.2,4.6,0,4,175.06
Graham Corporation,US,7,58.7,6,0,1,175.33
Trevali Mining Corporation,Canada,7,59.3,4.9,0,1,175.35
DirectCash Payments Inc.,Canada,6,58.3,7.5,0,0,175.37
"USA Truck, Inc.",US,9,59.1,2.8,0,2,175.76
DURECT Corporation,US,8,69.5,11.8,0,0,175.82
"Vishay Precision Group, Inc.",US,6,58.5,4.2,0,1,176.58
Bloomsbury Publishing plc,UK,7,58.4,6.7,0,2,176.6
Control4 Corporation,US,7,54.3,2.9,0,0,176.81
Tiptree Financial Inc.,US,6,60.3,3.3,0,1,176.95
"Park City Group, Inc.",US,6,68.3,7.5,0,0,177.4
Affine RE,France,9,57.1,7.1,0,4,177.5
Genie Energy Ltd.,US,5,66,5,0,0,178.07
"Lawson Products, Inc.",US,8,65.9,11.6,0,1,178.32
Sportech plc,UK,6,58.2,4.8,0,0,178.6
"Amber Road, Inc.",US,8,61.4,6.9,0,1,180.48
Datalink Corporation,US,7,62.3,10.9,0,1,180.63
Evolution Petroleum Corporation,US,5,60.6,10,0,0,180.99
"Chimerix, Inc.",US,11,59.6,3.3,0,4,182.08
Societe internationale de plantations d heveas SIPH,France,7,47.6,5,0,2,182.67
Exillon Energy plc,UK,5,42.8,1,0,1,182.71
"Solazyme, Inc.",US,6,57.8,6.7,0,0,184.53
Marlin Business Services Corp.,US,7,53.7,10.4,0,0,184.8
St Ives plc,UK,6,55.2,4.7,0,1,185.43
Immersion Corporation,US,6,58.7,7,0,0,185.9
Cardno Ltd.,Australia,7,60.1,5.1,0,2,186.82
Sherritt International Corporation,Canada,8,63.3,4.6,0,2,186.91
Big 5 Sporting Goods Corporation,US,7,58,8.9,0,2,187.13
"Nature's Sunshine Products, Inc.",US,9,57.7,7.6,0,3,187.19
"ARC Document Solutions, Inc.",US,7,63.3,10.6,1,0,188.64
Regional Management Corp.,US,7,63.3,6.6,0,0,189.07
Black Box Corporation,US,8,62.6,6.5,0,0,189.09
"Ultra Clean Holdings, Inc.",US,7,56.4,6,0,2,189.73
Medley Management Inc.,US,6,54.5,2,0,0,189.8
HSS Hire Group plc,UK,8,56,2.8,0,1,189.95
"Craft Brew Alliance, Inc.",US,7,63.3,7.4,0,0,189.96
