name,country,avgTenure,avgAge,percentWomen,cap,industry,industryTenure,industryAge,industryWomen,globalTenure,globalAge,globalWomen,countryTenure,countryAge,countryWomen
"Kronos Worldwide, Inc.",US,7.8,68.9,12.5,0.693,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
VSE Corporation,US,11.1,68.8,11.1,0.4015,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
TUTOR PERINI CORPORATION,US,9.1,68.8,10,1.2288,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"MiMedx Group, Inc.",US,6.3,68.8,0,0.8753,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"New York REIT, Inc.",US,3.5,68.8,25,1.5671,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
PBF Energy Inc.,US,2.5,68.8,10,2.15,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Trencor Ltd,South Africa,21.3,68.7,0,0.4706,Industrials,7.44,60.22,17,7.4,60,17,7.472007722,56.06949807,21
CDI Corp.,US,20.1,68.7,11.1,0.131,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Power Integrations, Inc.",US,17.3,68.7,0,1.5052,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
FutureFuel Corp.,US,7,68.7,0,0.5041,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
Lincoln National Corporation,US,13.1,68.6,10,10.2032,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Lexmark International, Inc.",US,12.6,68.6,16.7,2.374,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Centene Corporation,US,11.2,68.6,11.1,12.1598,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Hindalco Industries Ltd,India,10.9,68.6,10,4.2222,Materials,6.88,60.08,16,7.4,60,17,8.233502538,61.66497462,12
Gladstone Commercial Corporation,US,10.3,68.6,25,0.4175,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Wynn Resorts, Limited",US,8.2,68.6,11.1,9.3872,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"Orbital ATK, Inc.",US,4.3,68.6,13.3,5.0529,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Dime Community Bancshares, Inc.",US,21.9,68.5,9.1,0.6703,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Hoya Corp.,Japan,15.1,68.5,12.5,14.4827,Health Care,7.13,60.28,16,7.4,60,17,11.00662252,67.57615894,5
Westinghouse Air Brake Technologies Corporation,US,14.4,68.5,0,6.4372,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Sartorius AG,Germany,11.4,68.5,25,5.5145,Health Care,7.13,60.28,16,7.4,60,17,6.03255814,57.39255814,24
Ralph Lauren Corporation,US,10.5,68.5,27.3,8.11,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Hornbach-Baumarkt AG,Germany,1,68.5,6.3,0.857,Consumer Discretionary,7.57,59.12,20,7.4,60,17,6.03255814,57.39255814,24
Oil-Dri Corporation of America,US,25.9,68.4,0,0.267,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
"Marten Transport, Ltd.",US,17.3,68.4,0,0.7033,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"National Presto Industries, Inc.",US,16,68.4,20,0.6477,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
AMERCO,US,14.9,68.4,0,7.5822,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
BBX Capital Corporation,US,14.7,68.4,0,0.2603,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Pacific Ethanol, Inc.",US,10.1,68.4,0,0.2341,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Abercrombie & Fitch Co.,US,5.3,68.4,30,1.2969,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
AEP Industries Inc.,US,16.9,68.3,0,0.4638,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
Griffon Corporation,US,14.9,68.3,0,0.8201,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Weatherford International plc,US,14.5,68.3,0,5.3921,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
"BSB Bancorp, Inc.",US,14.5,68.3,0,0.2155,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Nomura Holdings Inc.,Japan,11.5,68.3,0,15.235,Financials,7.92,60.71,18,7.4,60,17,11.00662252,67.57615894,5
AXIS Capital Holdings Limited,US,9.4,68.3,25,4.9778,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Park City Group, Inc.",US,7.5,68.3,0,0.2076,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Cheung Kong Property Holdings Ltd.,Hong Kong,1,68.3,21.4,26.0569,Financials,7.92,60.71,18,7.4,60,17,9.783838384,61.74949495,13
"OSI Systems, Inc.",US,17.5,68.2,0,1.1462,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
"PetMed Express, Inc.",US,13.8,68.2,0,0.3969,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"CROWN HOLDINGS, INC.",US,11.3,68.2,8.3,7.2221,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
"Aeon Co., Ltd.",Japan,10.7,68.2,0,12.3358,Consumer Staples,7.41,59.11,21,7.4,60,17,11.00662252,67.57615894,5
"NL Industries, Inc.",US,8.2,68.2,16.7,0.15,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
VOXX International Corporation,US,20.9,68.1,14.3,0.0657,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
DONEGAL GROUP INC.,US,15.3,68.1,9.1,0.4285,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
COGNEX CORPORATION,US,14.9,68.1,0,3.6887,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
CARBO Ceramics Inc.,US,12.4,68.1,0,0.3233,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Ladenburg Thalmann Financial Services Inc.,US,12.2,68.1,10,0.4505,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"A. Schulman, Inc.",US,7.9,68.1,0,0.8402,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
Whiting Petroleum Corporation,US,7.1,68.1,12.5,1.7414,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
AirBoss of America Corp.,Canada,18.2,68,16.7,0.2585,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
Village Roadshow Ltd.,Australia,14.9,68,0,0.667,Consumer Discretionary,7.57,59.12,20,7.4,60,17,5.81913775,59.75394322,24
"Collectors Universe, Inc.",US,13.8,68,12.5,0.1818,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
LSI Industries Inc.,US,13.6,68,0,0.2838,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Anworth Mortgage Asset Corporation,US,13.2,68,0,0.4514,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Valmont Industries, Inc.",US,13.1,68,11.1,3.1261,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Waddell & Reed Financial, Inc.",US,12.1,68,12.5,1.4929,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
BioSpecifics Technologies Corp.,US,10.6,68,25,0.2933,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Masimo Corporation,US,10.2,68,0,2.5702,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
